batch_id,day_no,topic,key_notes,status,review_decision,review_note
2,28,Pandas: xử lý dữ liệu bảng,"DataFrame, đọc/ghi file, chọn lọc, lọc và nhóm dữ liệu.",pending,approve,
2,29,Trực quan hóa với Matplotlib và Seaborn,"Biểu đồ cơ bản, histogram, boxplot và cách trình bày dữ liệu rõ ràng.",pending,approve,
2,30,Tiền xử lý dữ liệu và xử lý thiếu sót,"Nhận diện giá trị thiếu, thay thế, loại bỏ và xử lý ngoại lệ.",pending,approve,
2,31,Chuẩn hóa và mã hóa đặc trưng,"Scaling, one-hot, label encoding và khi nào dùng từng phương pháp.",pending,approve,
2,32,Kỹ thuật trích chọn đặc trưng cơ bản,"Tạo đặc trưng mới, tương tác đặc trưng và chọn lọc theo ý nghĩa.",pending,approve,
2,33,Chuẩn bị dữ liệu cho mô hình hóa,"Làm sạch, tách dữ liệu train/val/test và tránh target leakage.",pending,approve,
2,34,Giới thiệu pipeline ML và luồng công việc,"Các bước ML pipeline: thu thập, tiền xử lý, mô hình, đánh giá, triển khai.",pending,approve,
2,35,Đặt bài toán: phân loại vs hồi quy,"Nhận biết bài toán, định nghĩa mục tiêu và chỉ số đánh giá tương ứng.",pending,approve,
2,36,Mô hình baseline và tầm quan trọng,Xây dựng mô hình đơn giản làm chuẩn so sánh trước khi phức tạp hóa.,pending,approve,
2,37,Hồi quy tuyến tính và phương pháp bình phương tối thiểu,"Mô hình hồi quy, phương pháp tối thiểu bình phương và giải thích hệ số.",pending,approve,
2,38,Hồi quy logistic cho phân loại nhị phân,"Hàm sigmoid, hàm mất mát log-loss và cách suy luận xác suất.",pending,approve,
2,39,Hàm mất mát và tối ưu hóa cơ bản,"MSE, cross-entropy, gradient descent và ảnh hưởng learning rate.",pending,approve,
2,40,"Regularization: L1, L2 và tránh overfitting","Ý tưởng phạt trọng số, ảnh hưởng lên mô hình và khi nào dùng.",pending,approve,
2,41,"Đánh giá mô hình: accuracy, precision, recall","Cách tính accuracy, precision, recall và trade-off giữa chúng.",pending,approve,
2,42,"F1-score, ROC và AUC","Chỉ số F1, đường ROC, AUC và ứng dụng trong cân nhắc mô hình.",pending,approve,
2,43,Cross-validation và chọn mô hình ổn định,"K-fold CV, stratified CV và cách dùng để đánh giá tin cậy.",pending,approve,
2,44,Bias-variance tradeoff trực quan,"Giải thích bias/variance, biểu đồ học và cách điều chỉnh.",pending,approve,
2,45,Cây quyết định: ý tưởng và thao tác cơ bản,"Cấu trúc cây, split criteria và vấn đề overfitting của cây sâu.",pending,approve,
2,46,Random Forest và bagging,"Kết hợp nhiều cây, bootstrap và giảm phương sai.",pending,approve,
2,47,Boosting: ý tưởng và XGBoost cơ bản,"Nguyên lý boosting, cách hoạt động và khi nào dùng XGBoost/LightGBM.",pending,approve,
2,48,Hệ thống đánh giá và diễn giải mô hình,"Feature importance, partial dependence và giới thiệu SHAP.",pending,approve,
2,49,Support Vector Machines (tóm tắt),"Khái niệm margin, kernel và ứng dụng SVM cho dữ liệu nhỏ.",pending,approve,
2,50,K-NN và các mô hình không tham số,"Cách hoạt động K-NN, chọn k và nhược điểm khi dữ liệu lớn.",pending,approve,
2,51,Clustering: K-means và trực quan,"Nguyên lý K-means, chọn K và giới hạn của phương pháp.",pending,approve,
2,52,Phân tích thành phần chính (PCA),"Ý tưởng giảm chiều, biến thành phần chính và nén dữ liệu.",pending,approve,
2,53,T-SNE và UMAP cho trực quan hóa chiều cao,Kỹ thuật phi tuyến để trực quan hóa dữ liệu nhiều chiều.,pending,approve,
2,54,Xây dựng pipeline với scikit-learn,"Tích hợp tiền xử lý, mô hình và cross-validation trong pipeline.",pending,approve,
2,55,"Tìm siêu tham số: grid, random, Bayesian","So sánh GridSearch, RandomSearch và ý tưởng tối ưu Bayes.",pending,approve,
2,56,Kỹ thuật đánh giá thực tế và dữ liệu không cân bằng,"Stratification, oversampling/undersampling và metrics cho dữ liệu lệch.",pending,approve,
2,57,Hệ thống ghi lại thí nghiệm và versioning,"Ghi log, lưu tham số, model version và giới thiệu MLflow/basic git.",pending,approve,
2,58,Chuẩn bị mô hình cho triển khai,"Lưu model, serializer, kiểm thử đầu vào/đầu ra và kiểm tra giả định.",pending,approve,
2,59,Triển khai cơ bản: API phục vụ mô hình,Dùng Flask/FastAPI để tạo endpoint dự đoán đơn giản.,pending,approve,
2,60,Giám sát mô hình và drift dữ liệu,"Giám sát hiệu năng, phát hiện drift và tái huấn luyện định kỳ.",pending,approve,
2,61,Nhập môn Deep Learning,Sự khác biệt ML cổ điển vs deep learning và ứng dụng nổi bật.,pending,approve,
2,62,Perceptron và mạng đa lớp (MLP),"Neuron đơn giản, mạng nhiều lớp và ý tưởng học đại số.",pending,approve,
2,63,Hàm kích hoạt phổ biến,"Sigmoid, ReLU, tanh, softmax và chọn hàm phù hợp.",pending,approve,
2,64,Lan truyền thuận và lan truyền ngược (backprop),Công thức lan truyền ngược cơ bản và cập nhật trọng số bằng gradient.,pending,approve,
2,65,"Tối ưu hóa: SGD, Momentum, Adam",Thuật toán tối ưu phổ biến và ảnh hưởng đến hội tụ.,pending,approve,
2,66,Chiến lược tránh overfitting trong DL,"Dropout, early stopping, weight decay và data augmentation.",pending,approve,
2,67,Batch normalization và lợi ích,"Chuẩn hóa theo lô, ổn định huấn luyện và tăng tốc hội tụ.",pending,approve,
2,68,CNN: ý tưởng và ứng dụng thị giác máy,"Lớp convolution, pooling và ví dụ nhận dạng ảnh cơ bản.",pending,approve,
2,69,Transfer Learning cho bài toán thực tế,Tái sử dụng mô hình tiền huấn luyện và fine-tune cho tập nhỏ.,pending,approve,
2,70,"RNN, LSTM và chuỗi thời gian","Mô hình tuần tự, vanishing gradient và cải tiến LSTM/GRU.",pending,approve,
2,71,Attention: ý tưởng trực quan,Cách attention tập trung thông tin và lợi thế so với RNN.,pending,approve,
2,72,Transformer: kiến trúc nền tảng,"Encoder/decoder, multi-head attention và luồng dữ liệu chính.",pending,approve,
2,73,Tokenization và biểu diễn từ,Wordpiece/BPE/tokenization và phát sinh embedding cơ bản.,pending,approve,
2,74,Embedding và không gian biểu diễn,"Ý nghĩa embedding, ví dụ Word2Vec/GloVe và dùng embedding cho downstream.",pending,approve,
2,75,Tiền huấn luyện ngôn ngữ lớn (pretraining),Nguyên tắc pretraining như masked LM và causal LM.,pending,approve,
2,76,Fine-tuning và kỹ thuật hiệu chỉnh mô hình,"Fine-tune truyền thống, LoRA, adapter và kỹ thuật tiết kiệm tài nguyên.",pending,approve,
2,77,Đánh giá mô hình ngôn ngữ,"Perplexity, BLEU, ROUGE, human eval và giới hạn các metric tự động.",pending,approve,
2,78,Prompt engineering cơ bản,"Cách viết prompt, chuỗi mẫu và kỹ thuật cải thiện phản hồi.",pending,approve,
2,79,Sử dụng embeddings cho tìm kiếm ngữ nghĩa,"Nhúng câu, tính tương đồng cosine và hệ thống truy vấn semantical.",pending,approve,
2,80,Xây dựng chatbot đơn giản,"Luồng hội thoại, quản lý ngữ cảnh và nối API mô hình ngôn ngữ.",pending,approve,
2,81,Triển khai LLM: hiệu năng và chi phí,"Latency, batching, memória và chiến lược giảm chi phí inference.",pending,approve,
2,82,Tinh gọn mô hình: pruning và quantization,Kỹ thuật cắt bớt tham số và lượng tử để chạy nhẹ hơn.,pending,approve,
2,83,Chuẩn hoá mô hình: ONNX và xuất mô hình,"Chuyển đổi model sang ONNX, kiểm thử và tích hợp đa nền tảng.",pending,approve,
2,84,Triển khai tại biên (edge) và mobile,"Khó khăn triển khai trên thiết bị, thư viện và tối ưu hoá cơ bản.",pending,approve,
2,85,Giám sát và bảo trì hệ thống ML sản phẩm,"Log, metrics, cảnh báo và quy trình tái huấn luyện.",pending,approve,
2,86,"Đạo đức, quyền riêng tư và dữ liệu","Vấn đề bias, quyền riêng tư, GDPR và thực hành dữ liệu có trách nhiệm.",pending,approve,
2,87,Đọc paper và tiếp cận nghiên cứu AI/ML,"Cách đọc paper hiệu quả, tóm tắt ý chính và thử tái hiện kết quả.",pending,approve,
2,88,Kỹ năng nghề nghiệp cho học sinh/sinh viên,"Portfolio, GitHub, CV, dự án nhỏ và cách tìm thực tập.",pending,approve,
2,89,Dự án cuối khóa: lập đề và kế hoạch,"Chọn đề tài đơn giản, chuẩn bị dữ liệu, metric và lịch trình thực hiện.",pending,approve,
2,90,Tổng kết lộ trình và bước tiếp theo,"Ôn lại nội dung, gợi ý tài liệu tiếp thu sâu và lộ trình học tiếp.",pending,approve,
